Fault ID,Fault Type,"Fault Location (Latitude, Longitude)",Voltage (V),Current (A),Power Load (MW),Temperature (°C),Wind Speed (km/h),Weather Condition,Maintenance Status,Component Health,Duration of Fault (hrs),Down time (hrs)
F026,Overheating,"(34.9593, -118.9408)",2010.0,197.0,47.0,35.0,15.0,Rainy,Completed,Normal,4.6,3.3
F027,Line Breakage,"(34.2486, -118.6496)",1915.0,215.0,47.0,32.0,13.0,Thunderstorm,Pending,Normal,2.8,1.9
F028,Transformer Failure,"(34.7606, -118.9892)",1860.0,246.0,49.0,36.0,13.0,Thunderstorm,Completed,Normal,4.6,2.8
F029,Line Breakage,"(34.5413, -118.39)",1878.0,189.0,50.0,28.0,11.0,Windstorm,Completed,Normal,4.5,3.6
F030,Line Breakage,"(34.8762, -118.3086)",2206.0,242.0,49.0,27.0,26.0,Clear,Scheduled,Overheated,4.4,4.6
F031,Transformer Failure,"(34.2413, -118.15)",2053.0,235.0,51.0,21.0,30.0,Clear,Completed,Overheated,4.9,6.4
F032,Overheating,"(34.5078, -118.5804)",2228.0,212.0,50.0,22.0,10.0,Clear,Pending,Faulty,3.0,4.0
F033,Overheating,"(34.4338, -118.7342)",2199.0,242.0,53.0,39.0,28.0,Windstorm,Pending,Overheated,5.5,5.0
F034,Line Breakage,"(34.6017, -118.4097)",2206.0,192.0,54.0,23.0,13.0,Rainy,Completed,Overheated,4.7,6.4
F035,Transformer Failure,"(34.8153, -118.2817)",1820.0,224.0,55.0,34.0,24.0,Thunderstorm,Pending,Normal,5.8,5.9
F036,Overheating,"(34.7444, -118.5682)",2264.0,183.0,48.0,38.0,15.0,Clear,Pending,Faulty,2.4,6.5
F037,Line Breakage,"(34.7291, -118.1506)",1929.0,225.0,55.0,31.0,21.0,Rainy,Completed,Faulty,5.1,2.9
F038,Overheating,"(34.991, -118.7368)",2206.0,200.0,48.0,37.0,27.0,Snowy,Pending,Faulty,5.0,5.7
F039,Line Breakage,"(34.8447, -118.1434)",1970.0,225.0,54.0,37.0,17.0,Snowy,Completed,Normal,5.7,1.5
F040,Transformer Failure,"(34.3129, -118.5028)",1895.0,228.0,48.0,28.0,25.0,Snowy,Completed,Faulty,5.6,5.5
F041,Line Breakage,"(34.3228, -118.8885)",2097.0,219.0,53.0,40.0,27.0,Snowy,Pending,Overheated,2.7,4.7
F042,Line Breakage,"(34.1986, -118.9095)",2106.0,231.0,49.0,24.0,20.0,Thunderstorm,Completed,Faulty,2.5,3.3
F043,Overheating,"(34.8146, -118.1125)",1950.0,190.0,50.0,27.0,24.0,Clear,Scheduled,Overheated,2.6,7.0
F044,Line Breakage,"(34.4945, -118.1668)",1912.0,211.0,48.0,34.0,30.0,Rainy,Scheduled,Normal,3.2,6.8
F045,Overheating,"(34.4833, -118.5611)",2084.0,250.0,54.0,26.0,23.0,Rainy,Pending,Overheated,3.6,4.5
F046,Transformer Failure,"(34.7468, -118.2933)",1986.0,213.0,51.0,31.0,21.0,Rainy,Completed,Overheated,3.4,6.7
F047,Line Breakage,"(34.3217, -118.1726)",2159.0,211.0,53.0,38.0,14.0,Clear,Pending,Overheated,3.9,2.9
F048,Overheating,"(34.2278, -118.6517)",2159.0,250.0,48.0,34.0,18.0,Thunderstorm,Scheduled,Faulty,4.5,4.0
F049,Transformer Failure,"(34.0647, -118.0042)",1811.0,237.0,53.0,40.0,11.0,Snowy,Completed,Overheated,2.6,5.1
F050,Line Breakage,"(34.9547, -118.7239)",1929.0,183.0,54.0,35.0,23.0,Rainy,Completed,Normal,4.6,2.9
F051,Overheating,"(34.6747, -118.6695)",2091.0,245.0,51.0,24.0,27.0,Thunderstorm,Completed,Normal,5.9,1.3
F052,Transformer Failure,"(34.5874, -118.2254)",1836.0,188.0,53.0,33.0,15.0,Rainy,Scheduled,Overheated,5.1,6.9
F053,Line Breakage,"(34.0295, -118.0712)",2173.0,195.0,50.0,22.0,13.0,Windstorm,Pending,Overheated,5.8,3.3
F054,Transformer Failure,"(34.3813, -118.5256)",2233.0,223.0,47.0,23.0,19.0,Snowy,Scheduled,Overheated,3.7,2.5
F055,Line Breakage,"(34.1846, -118.5986)",1916.0,224.0,55.0,40.0,12.0,Snowy,Completed,Normal,4.1,1.1
F056,Overheating,"(34.0609, -118.4429)",2149.0,227.0,46.0,25.0,10.0,Thunderstorm,Scheduled,Normal,3.3,2.8
F057,Overheating,"(34.5634, -118.1406)",2289.0,202.0,48.0,40.0,29.0,Windstorm,Scheduled,Overheated,2.9,3.1
F058,Overheating,"(34.9126, -118.4003)",2093.0,202.0,52.0,25.0,26.0,Rainy,Completed,Normal,4.5,6.6
F059,Line Breakage,"(34.8072, -118.6883)",1949.0,193.0,50.0,25.0,28.0,Thunderstorm,Scheduled,Normal,4.0,4.6
F060,Overheating,"(34.92, -118.0622)",2275.0,250.0,51.0,34.0,13.0,Thunderstorm,Scheduled,Faulty,3.0,1.8
F061,Transformer Failure,"(34.1883, -118.5957)",1983.0,187.0,52.0,38.0,13.0,Thunderstorm,Scheduled,Overheated,4.6,6.5
F062,Overheating,"(34.5751, -118.4681)",2001.0,249.0,55.0,26.0,19.0,Snowy,Scheduled,Faulty,5.1,2.8
F063,Overheating,"(34.4263, -118.5649)",1842.0,242.0,45.0,35.0,13.0,Snowy,Pending,Faulty,4.4,2.8
F064,Transformer Failure,"(34.7708, -118.3011)",2070.0,185.0,48.0,22.0,19.0,Thunderstorm,Pending,Overheated,4.2,4.8
F065,Overheating,"(34.048, -118.972)",2294.0,218.0,51.0,26.0,21.0,Thunderstorm,Scheduled,Overheated,5.5,5.4
F066,Overheating,"(34.8492, -118.4913)",2148.0,185.0,48.0,23.0,24.0,Rainy,Scheduled,Overheated,3.3,5.3
F067,Transformer Failure,"(34.2067, -118.3596)",1807.0,185.0,51.0,26.0,13.0,Snowy,Scheduled,Normal,4.6,6.5
F068,Transformer Failure,"(34.9844, -118.0129)",2223.0,209.0,50.0,32.0,11.0,Rainy,Scheduled,Overheated,3.0,5.0
F069,Transformer Failure,"(34.6804, -118.2898)",2261.0,219.0,48.0,40.0,18.0,Windstorm,Pending,Normal,3.7,3.5
F070,Transformer Failure,"(34.8426, -118.8105)",2198.0,242.0,49.0,39.0,10.0,Windstorm,Scheduled,Overheated,5.1,1.8
F071,Overheating,"(34.223, -118.3624)",1859.0,200.0,52.0,22.0,15.0,Thunderstorm,Completed,Normal,5.8,2.5
F072,Overheating,"(34.715, -118.305)",1945.0,248.0,49.0,29.0,28.0,Snowy,Scheduled,Normal,3.6,6.3
F073,Line Breakage,"(34.9502, -118.4453)",2054.0,205.0,47.0,36.0,11.0,Windstorm,Completed,Normal,2.4,1.2
F074,Transformer Failure,"(34.1845, -118.2375)",2212.0,188.0,48.0,33.0,29.0,Snowy,Completed,Overheated,2.6,4.6
F075,Line Breakage,"(34.6629, -118.4964)",2298.0,204.0,48.0,30.0,11.0,Thunderstorm,Scheduled,Normal,3.4,6.7
F076,Line Breakage,"(34.3501, -118.7994)",2129.0,187.0,51.0,32.0,14.0,Snowy,Pending,Normal,2.9,4.8
F077,Transformer Failure,"(34.658, -118.5611)",2246.0,236.0,46.0,27.0,29.0,Thunderstorm,Completed,Overheated,2.6,4.3
F078,Transformer Failure,"(34.0567, -118.3152)",2009.0,246.0,53.0,20.0,29.0,Rainy,Pending,Faulty,3.5,1.9
F079,Line Breakage,"(34.6843, -118.9941)",1801.0,187.0,51.0,38.0,13.0,Rainy,Pending,Normal,4.3,1.4
F080,Overheating,"(34.824, -118.5236)",2092.0,229.0,49.0,39.0,22.0,Windstorm,Pending,Normal,4.7,4.7
F081,Transformer Failure,"(34.9801, -118.3633)",2045.0,199.0,52.0,37.0,21.0,Rainy,Scheduled,Faulty,4.5,2.0
F082,Transformer Failure,"(34.9991, -118.1181)",1988.0,182.0,51.0,29.0,14.0,Clear,Completed,Faulty,4.8,4.2
F083,Line Breakage,"(34.9875, -118.875)",2120.0,225.0,48.0,32.0,23.0,Windstorm,Completed,Overheated,3.8,6.7
F084,Transformer Failure,"(34.3636, -118.674)",2004.0,197.0,53.0,26.0,17.0,Rainy,Pending,Normal,4.3,6.7
F085,Overheating,"(34.6593, -118.3811)",2260.0,239.0,53.0,33.0,21.0,Snowy,Scheduled,Faulty,2.6,1.7
F086,Overheating,"(34.4523, -118.0953)",2289.0,232.0,45.0,26.0,16.0,Snowy,Pending,Normal,4.6,6.6
F087,Transformer Failure,"(34.1803, -118.557)",2155.0,206.0,51.0,38.0,15.0,Snowy,Pending,Overheated,4.3,1.9
F088,Transformer Failure,"(34.5751, -118.1992)",1877.0,232.0,50.0,34.0,17.0,Rainy,Completed,Faulty,4.4,5.6
F089,Overheating,"(34.7353, -118.1241)",2146.0,192.0,46.0,22.0,10.0,Clear,Scheduled,Faulty,5.4,2.9
F090,Transformer Failure,"(34.203, -118.8494)",1909.0,219.0,46.0,31.0,29.0,Snowy,Pending,Faulty,3.9,5.2
F091,Transformer Failure,"(34.3032, -118.1977)",1881.0,199.0,47.0,33.0,13.0,Thunderstorm,Pending,Faulty,2.6,4.3
F092,Transformer Failure,"(34.6999, -118.7188)",2234.0,211.0,46.0,24.0,24.0,Clear,Scheduled,Normal,5.5,3.8
F093,Transformer Failure,"(34.1705, -118.98)",2152.0,226.0,52.0,38.0,28.0,Rainy,Completed,Normal,5.9,6.7
F094,Overheating,"(34.3438, -118.6602)",1843.0,227.0,46.0,25.0,14.0,Thunderstorm,Completed,Overheated,3.6,1.9
F095,Overheating,"(34.1971, -118.3658)",1949.0,190.0,50.0,39.0,25.0,Clear,Pending,Overheated,3.7,2.0
F096,Transformer Failure,"(34.192, -118.7198)",2066.0,183.0,52.0,30.0,15.0,Clear,Pending,Normal,4.8,2.6
F097,Transformer Failure,"(34.3375, -118.7272)",2188.0,238.0,55.0,22.0,20.0,Thunderstorm,Scheduled,Normal,5.5,6.6
F098,Line Breakage,"(34.7346, -118.9808)",1994.0,205.0,52.0,32.0,22.0,Clear,Pending,Overheated,3.1,3.3
F099,Transformer Failure,"(34.8031, -118.1464)",2201.0,234.0,51.0,30.0,14.0,Snowy,Pending,Faulty,4.2,3.9
F100,Transformer Failure,"(34.0833, -118.5501)",2143.0,190.0,55.0,30.0,26.0,Clear,Scheduled,Normal,5.2,1.6
F101,Line Breakage,"(34.1771, -118.935)",2092.0,210.0,46.0,22.0,10.0,Clear,Pending,Faulty,5.5,4.7
F102,Line Breakage,"(34.5828, -118.0344)",2296.0,238.0,55.0,30.0,13.0,Thunderstorm,Scheduled,Normal,4.8,2.2
F103,Overheating,"(34.9266, -118.8144)",2167.0,191.0,45.0,33.0,17.0,Rainy,Scheduled,Overheated,2.3,2.9
F104,Overheating,"(34.1926, -118.1824)",2162.0,243.0,54.0,25.0,25.0,Snowy,Pending,Overheated,4.4,6.2
F105,Transformer Failure,"(34.1849, -118.9937)",1890.0,205.0,49.0,24.0,27.0,Thunderstorm,Scheduled,Overheated,2.5,5.6
F106,Line Breakage,"(34.187, -118.6786)",1916.0,200.0,51.0,40.0,28.0,Snowy,Pending,Faulty,4.0,2.7
F107,Transformer Failure,"(34.2509, -118.6552)",1923.0,247.0,45.0,40.0,18.0,Snowy,Scheduled,Normal,2.2,4.0
F108,Overheating,"(34.0604, -118.2443)",2020.0,190.0,55.0,34.0,10.0,Clear,Completed,Overheated,5.1,6.5
F109,Overheating,"(34.6811, -118.3218)",1833.0,213.0,50.0,34.0,21.0,Windstorm,Completed,Faulty,3.2,3.9
F110,Overheating,"(34.9991, -118.8097)",2100.0,201.0,45.0,31.0,23.0,Windstorm,Completed,Faulty,5.7,6.1
F111,Transformer Failure,"(34.4636, -118.1009)",2031.0,199.0,47.0,32.0,23.0,Clear,Scheduled,Faulty,3.5,6.2
F112,Line Breakage,"(34.3994, -118.986)",2205.0,202.0,47.0,38.0,15.0,Rainy,Scheduled,Normal,3.6,1.9
F113,Transformer Failure,"(34.1978, -118.5027)",1881.0,218.0,53.0,28.0,17.0,Rainy,Completed,Overheated,4.9,3.6
F114,Line Breakage,"(34.4873, -118.3342)",1980.0,193.0,46.0,30.0,25.0,Thunderstorm,Completed,Normal,2.9,6.7
F115,Line Breakage,"(34.4163, -118.987)",1957.0,200.0,50.0,40.0,19.0,Thunderstorm,Completed,Overheated,2.5,1.8
F116,Transformer Failure,"(34.3411, -118.6266)",2152.0,196.0,50.0,38.0,25.0,Clear,Scheduled,Faulty,3.5,2.5
F117,Transformer Failure,"(34.6883, -118.0899)",2262.0,220.0,55.0,35.0,18.0,Thunderstorm,Completed,Overheated,5.2,5.2
F118,Line Breakage,"(34.9655, -118.2184)",2093.0,209.0,54.0,39.0,17.0,Rainy,Completed,Overheated,3.9,1.1
F119,Overheating,"(34.8807, -118.6159)",1875.0,221.0,46.0,36.0,25.0,Windstorm,Pending,Overheated,3.1,3.7
F120,Line Breakage,"(34.7913, -118.7238)",1873.0,226.0,45.0,35.0,17.0,Rainy,Pending,Normal,3.3,5.9
F121,Transformer Failure,"(34.5619, -118.2163)",2289.0,220.0,52.0,30.0,29.0,Thunderstorm,Scheduled,Overheated,2.8,6.5
F122,Overheating,"(34.1204, -118.2666)",2176.0,204.0,53.0,36.0,19.0,Rainy,Completed,Faulty,4.8,6.1
F123,Transformer Failure,"(34.261, -118.8559)",1812.0,183.0,55.0,40.0,23.0,Clear,Completed,Faulty,5.1,7.0
F124,Transformer Failure,"(34.6259, -118.4447)",2104.0,236.0,50.0,23.0,18.0,Windstorm,Completed,Normal,4.8,3.7
F125,Line Breakage,"(34.5865, -118.6772)",1808.0,195.0,45.0,30.0,27.0,Windstorm,Completed,Normal,3.3,5.3
F126,Overheating,"(34.0255, -118.5657)",1965.0,230.0,47.0,30.0,29.0,Clear,Pending,Faulty,3.3,5.5
F127,Line Breakage,"(34.8833, -118.9441)",2167.0,196.0,52.0,22.0,12.0,Rainy,Scheduled,Normal,4.1,6.6
F128,Line Breakage,"(34.0919, -118.6397)",1982.0,223.0,46.0,33.0,20.0,Clear,Completed,Faulty,4.2,4.1
F129,Overheating,"(34.7897, -118.3054)",2080.0,191.0,48.0,34.0,15.0,Clear,Completed,Normal,3.0,4.9
F130,Overheating,"(34.0242, -118.3571)",2157.0,208.0,52.0,21.0,11.0,Rainy,Scheduled,Normal,5.8,1.8
F131,Transformer Failure,"(34.323, -118.244)",2143.0,230.0,45.0,36.0,19.0,Windstorm,Scheduled,Overheated,4.9,3.5
F132,Line Breakage,"(34.0401, -118.4103)",1906.0,209.0,54.0,35.0,10.0,Snowy,Pending,Normal,4.3,3.2
F133,Line Breakage,"(34.3972, -118.8477)",1803.0,216.0,49.0,37.0,21.0,Thunderstorm,Completed,Normal,5.3,5.5
F134,Transformer Failure,"(34.3345, -118.6729)",1933.0,230.0,46.0,40.0,19.0,Windstorm,Scheduled,Faulty,4.4,4.9
F135,Overheating,"(34.77, -118.7954)",1857.0,185.0,51.0,23.0,16.0,Rainy,Pending,Overheated,5.0,6.0
F136,Overheating,"(34.2143, -118.4067)",1955.0,226.0,52.0,21.0,30.0,Rainy,Pending,Faulty,2.9,1.1
F137,Line Breakage,"(34.2164, -118.8191)",1970.0,206.0,52.0,32.0,20.0,Windstorm,Completed,Overheated,5.0,6.5
F138,Transformer Failure,"(34.5608, -118.7147)",2141.0,211.0,46.0,39.0,13.0,Clear,Scheduled,Overheated,2.2,1.1
F139,Transformer Failure,"(34.9302, -118.6966)",1995.0,200.0,46.0,21.0,21.0,Rainy,Pending,Normal,5.9,5.5
F140,Transformer Failure,"(34.0761, -118.5825)",1811.0,218.0,45.0,23.0,19.0,Rainy,Completed,Faulty,5.7,6.3
F141,Line Breakage,"(34.1203, -118.3633)",2287.0,183.0,52.0,25.0,10.0,Clear,Scheduled,Overheated,2.9,6.2
F142,Overheating,"(34.6949, -118.7269)",1811.0,241.0,46.0,24.0,16.0,Clear,Completed,Overheated,3.5,1.2
F143,Transformer Failure,"(34.8305, -118.5876)",2298.0,181.0,54.0,21.0,12.0,Snowy,Pending,Faulty,4.9,2.2
F144,Transformer Failure,"(34.0244, -118.728)",2246.0,204.0,48.0,34.0,10.0,Clear,Pending,Faulty,4.2,5.2
F145,Line Breakage,"(34.7156, -118.2575)",1946.0,226.0,46.0,39.0,21.0,Windstorm,Completed,Overheated,2.7,5.0
F146,Transformer Failure,"(34.7262, -118.4592)",1964.0,224.0,51.0,25.0,28.0,Windstorm,Completed,Faulty,5.9,5.6
F147,Line Breakage,"(34.8142, -118.2483)",2053.0,249.0,51.0,31.0,23.0,Clear,Pending,Faulty,5.5,3.0
F148,Transformer Failure,"(34.6455, -118.5492)",2076.0,201.0,45.0,30.0,26.0,Rainy,Pending,Faulty,4.2,6.0
F149,Line Breakage,"(34.8511, -118.4263)",2300.0,206.0,51.0,22.0,23.0,Clear,Pending,Overheated,2.2,1.6
F150,Line Breakage,"(34.2547, -118.4496)",2282.0,201.0,48.0,30.0,25.0,Clear,Completed,Overheated,5.3,3.2
F151,Transformer Failure,"(34.5231, -118.1806)",1912.0,224.0,51.0,23.0,17.0,Windstorm,Scheduled,Overheated,5.6,2.1
F152,Line Breakage,"(34.8932, -118.0307)",2209.0,193.0,52.0,24.0,12.0,Snowy,Scheduled,Faulty,3.2,2.3
F153,Overheating,"(34.0966, -118.1855)",1812.0,182.0,45.0,29.0,13.0,Rainy,Scheduled,Overheated,2.3,2.5
F154,Line Breakage,"(34.4219, -118.6425)",2006.0,181.0,54.0,29.0,20.0,Windstorm,Completed,Normal,3.2,4.7
F155,Transformer Failure,"(34.6352, -118.4067)",2147.0,242.0,45.0,35.0,20.0,Snowy,Scheduled,Faulty,4.8,6.2
F156,Transformer Failure,"(34.7529, -118.2302)",2016.0,224.0,55.0,35.0,10.0,Windstorm,Scheduled,Faulty,5.0,1.5
F157,Transformer Failure,"(34.5437, -118.917)",2170.0,192.0,52.0,32.0,20.0,Rainy,Pending,Faulty,2.1,2.9
F158,Overheating,"(34.8546, -118.7834)",2010.0,192.0,45.0,24.0,28.0,Clear,Pending,Faulty,2.3,2.1
F159,Transformer Failure,"(34.6971, -118.6118)",2273.0,248.0,55.0,21.0,18.0,Thunderstorm,Scheduled,Overheated,4.1,2.0
F160,Transformer Failure,"(34.2934, -118.8373)",1948.0,222.0,51.0,23.0,14.0,Clear,Scheduled,Faulty,3.9,1.0
F161,Overheating,"(34.8068, -118.0946)",2195.0,228.0,45.0,29.0,15.0,Rainy,Completed,Overheated,4.3,4.0
F162,Overheating,"(34.4447, -118.2992)",2266.0,194.0,46.0,25.0,14.0,Rainy,Pending,Overheated,4.3,3.6
F163,Transformer Failure,"(34.7943, -118.57)",2162.0,247.0,50.0,40.0,27.0,Clear,Completed,Faulty,2.1,3.6
F164,Overheating,"(34.4223, -118.9348)",1934.0,225.0,52.0,32.0,26.0,Rainy,Scheduled,Normal,2.1,1.5
F165,Line Breakage,"(34.6646, -118.5539)",2079.0,227.0,53.0,28.0,25.0,Clear,Pending,Normal,4.3,1.7
F166,Line Breakage,"(34.2322, -118.8526)",1868.0,230.0,45.0,31.0,11.0,Thunderstorm,Scheduled,Normal,4.1,2.6
F167,Overheating,"(34.0089, -118.1196)",1870.0,220.0,48.0,35.0,16.0,Rainy,Pending,Faulty,3.9,2.3
F168,Line Breakage,"(34.3879, -118.3666)",2077.0,189.0,47.0,24.0,26.0,Rainy,Scheduled,Faulty,4.1,6.9
F169,Overheating,"(34.1647, -118.3731)",2011.0,226.0,48.0,28.0,23.0,Clear,Completed,Normal,5.5,5.7
F170,Line Breakage,"(34.1926, -118.2735)",1991.0,230.0,52.0,39.0,17.0,Rainy,Completed,Overheated,5.8,4.1
F171,Transformer Failure,"(34.646, -118.2446)",1880.0,210.0,54.0,36.0,19.0,Windstorm,Scheduled,Faulty,4.4,3.5
F172,Overheating,"(34.0848, -118.1083)",1874.0,185.0,50.0,28.0,22.0,Snowy,Completed,Overheated,5.2,6.5
F173,Transformer Failure,"(34.8363, -118.3947)",2270.0,219.0,52.0,36.0,25.0,Windstorm,Pending,Overheated,4.8,6.5
F174,Overheating,"(34.5993, -118.2142)",1870.0,240.0,50.0,22.0,25.0,Snowy,Pending,Overheated,4.5,1.4
F175,Overheating,"(34.2682, -118.7287)",1947.0,245.0,48.0,30.0,20.0,Rainy,Pending,Normal,3.4,2.8
F176,Transformer Failure,"(34.5177, -118.5885)",1935.0,234.0,55.0,26.0,29.0,Rainy,Pending,Faulty,2.8,5.1
F177,Overheating,"(34.5428, -118.6789)",2208.0,239.0,54.0,36.0,15.0,Clear,Pending,Overheated,5.5,4.8
F178,Line Breakage,"(34.5981, -118.3666)",1972.0,203.0,55.0,35.0,21.0,Rainy,Completed,Faulty,4.9,6.6
F179,Transformer Failure,"(34.5374, -118.8537)",2110.0,189.0,49.0,23.0,22.0,Thunderstorm,Completed,Normal,2.3,5.9
F180,Transformer Failure,"(34.9278, -118.5452)",2081.0,215.0,53.0,38.0,23.0,Rainy,Completed,Normal,5.9,4.8
F181,Transformer Failure,"(34.5953, -118.5236)",1998.0,220.0,46.0,24.0,15.0,Clear,Completed,Normal,2.2,1.4
F182,Line Breakage,"(34.5485, -118.7316)",2201.0,192.0,55.0,33.0,16.0,Clear,Pending,Overheated,2.2,1.7
F183,Overheating,"(34.7196, -118.7158)",1923.0,209.0,48.0,39.0,29.0,Thunderstorm,Completed,Overheated,3.4,2.4
F184,Line Breakage,"(34.5537, -118.6833)",1912.0,201.0,51.0,26.0,27.0,Thunderstorm,Scheduled,Normal,2.4,5.4
F185,Transformer Failure,"(34.8096, -118.8754)",1926.0,232.0,48.0,27.0,24.0,Thunderstorm,Scheduled,Normal,5.7,2.7
F186,Line Breakage,"(34.2388, -118.6915)",2096.0,229.0,52.0,26.0,17.0,Clear,Scheduled,Faulty,4.8,3.7
F187,Overheating,"(34.8881, -118.1494)",2184.0,228.0,45.0,37.0,18.0,Rainy,Pending,Faulty,3.7,6.3
F188,Transformer Failure,"(34.3221, -118.501)",2115.0,229.0,52.0,39.0,16.0,Snowy,Scheduled,Overheated,2.3,6.0
F189,Overheating,"(34.3777, -118.2119)",1906.0,207.0,50.0,31.0,22.0,Snowy,Scheduled,Overheated,3.2,2.4
F190,Overheating,"(34.8777, -118.0393)",2151.0,211.0,55.0,22.0,24.0,Clear,Completed,Overheated,3.4,3.3
F191,Transformer Failure,"(34.4363, -118.5547)",2017.0,191.0,51.0,28.0,21.0,Rainy,Completed,Faulty,5.6,2.6
F192,Line Breakage,"(34.1685, -118.1464)",2130.0,246.0,54.0,36.0,16.0,Clear,Completed,Faulty,2.2,2.4
F193,Overheating,"(34.9158, -118.9076)",2156.0,250.0,45.0,28.0,12.0,Thunderstorm,Completed,Faulty,2.6,1.8
F194,Transformer Failure,"(34.2785, -118.084)",1917.0,232.0,49.0,25.0,26.0,Clear,Scheduled,Normal,4.5,4.4
F195,Overheating,"(34.1759, -118.4521)",2282.0,234.0,47.0,27.0,10.0,Rainy,Pending,Overheated,2.3,5.6
F196,Transformer Failure,"(34.8173, -118.8213)",1863.0,239.0,53.0,31.0,15.0,Rainy,Pending,Normal,3.0,1.1
F197,Line Breakage,"(34.7663, -118.4868)",1810.0,244.0,53.0,21.0,22.0,Rainy,Scheduled,Normal,3.9,6.1
F198,Line Breakage,"(34.8617, -118.1657)",2093.0,215.0,52.0,27.0,24.0,Rainy,Pending,Normal,4.9,2.0
F199,Overheating,"(34.7545, -118.9329)",1993.0,197.0,45.0,29.0,24.0,Thunderstorm,Completed,Overheated,5.0,4.3
F200,Overheating,"(34.4039, -118.4749)",2292.0,246.0,50.0,39.0,28.0,Windstorm,Completed,Overheated,5.7,2.0
F201,Transformer Failure,"(34.1262, -118.9636)",1837.0,227.0,49.0,23.0,29.0,Windstorm,Completed,Faulty,3.2,1.1
F202,Transformer Failure,"(34.1987, -118.984)",2022.0,198.0,52.0,38.0,14.0,Snowy,Completed,Normal,2.6,6.4
F203,Transformer Failure,"(34.2529, -118.6008)",2164.0,239.0,50.0,26.0,24.0,Rainy,Completed,Normal,3.0,1.9
F204,Overheating,"(34.9227, -118.7046)",1827.0,224.0,52.0,32.0,30.0,Windstorm,Scheduled,Overheated,3.2,5.9
